Determination start,Oxygen(mL/L),Cruise,CTD#,Oxy bottle,Bottle case,bottle volume,blank,Avg Thio Volume,Avg normality of thio,,depth,
2012-04-29 06:12:34 UTC-4,5.12,KN207-1,50,K13,K,149,0,4.36165,0.01024,,5,
2012-04-29 06:10:02 UTC-4,5.128,KN207-1,50,K13,K,149,0,4.36165,0.01024,,5,
2012-04-29 06:07:24 UTC-4,5.127,KN207-1,50,K12,K,149,0,4.36165,0.01024,,30,
2012-04-29 06:03:00 UTC-4,5.142,KN207-1,50,K12,K,149,0,4.36165,0.01024,,30,
2012-04-29 06:00:06 UTC-4,5.084,KN207-1,50,K11,K,149,0,4.36165,0.01024,,60,
2012-04-29 05:57:11 UTC-4,5.085,KN207-1,50,K11,K,149,0,4.36165,0.01024,,60,
2012-04-29 05:54:24 UTC-4,4.788,KN207-1,50,K10,K,149,0,4.36165,0.01024,,70,
2012-04-29 05:51:38 UTC-4,4.782,KN207-1,50,K10,K,149,0,4.36165,0.01024,,70,
2012-04-29 05:48:39 UTC-4,4.66,KN207-1,50,K9,K,149,0,4.36165,0.01024,,80,
2012-04-29 05:45:53 UTC-4,4.664,KN207-1,50,K9,K,149,0,4.36165,0.01024,,80,
2012-04-29 05:42:19 UTC-4,4.946,KN207-1,50,K8,K,149,0,4.36165,0.01024,,150,
2012-04-29 05:38:20 UTC-4,4.565,KN207-1,50,K8,K,149,0,4.36165,0.01024,,150,"made a mistake on this one, if choosing one, chose other one."
2012-04-29 11:34:36 UTC-4,5.168,KN207-1,51,K20,K,149,0,4.36165,0.01024,,5,
2012-04-29 11:31:15 UTC-4,5.182,KN207-1,51,K20,K,149,0,4.36165,0.01024,,5,
2012-04-29 11:28:12 UTC-4,5.187,KN207-1,51,K19,K,149,0,4.36165,0.01024,,30,
2012-04-29 11:25:40 UTC-4,5.197,KN207-1,51,K19,K,149,0,4.36165,0.01024,,30,
2012-04-29 11:22:58 UTC-4,5.13,KN207-1,51,K18,K,149,0,4.36165,0.01024,,70,
2012-04-29 11:20:21 UTC-4,5.133,KN207-1,51,K18,K,149,0,4.36165,0.01024,,70,
2012-04-29 11:17:51 UTC-4,5.089,KN207-1,51,K17,K,149,0,4.36165,0.01024,,80,
2012-04-29 11:15:24 UTC-4,5.084,KN207-1,51,K17,K,149,0,4.36165,0.01024,,80,
2012-04-29 11:12:21 UTC-4,5.09,KN207-1,51,K16,K,149,0,4.36165,0.01024,,100,
2012-04-29 11:09:55 UTC-4,5.054,KN207-1,51,K16,K,149,0,4.36165,0.01024,,100,
2012-04-29 11:07:07 UTC-4,5.073,KN207-1,51,K15,K,149,0,4.36165,0.01024,,150,
2012-04-29 11:03:30 UTC-4,5.067,KN207-1,51,K15,K,149,0,4.36165,0.01024,,150,
2012-04-29 20:01:40 UTC-4,5.187,KN207-1,53,K27,K,149,0,4.36165,0.01024,,5,
2012-04-29 19:58:58 UTC-4,5.186,KN207-1,53,K27,K,149,0,4.36165,0.01024,,5,
2012-04-29 19:56:19 UTC-4,5.201,KN207-1,53,K26,K,149,0,4.36165,0.01024,,18,
2012-04-29 19:53:39 UTC-4,5.202,KN207-1,53,K26,K,149,0,4.36165,0.01024,,18,
2012-04-29 19:51:12 UTC-4,5.233,KN207-1,53,K25,K,149,0,4.36165,0.01024,,35,
2012-04-29 19:48:35 UTC-4,5.23,KN207-1,53,K25,K,149,0,4.36165,0.01024,,35,
2012-04-29 19:45:37 UTC-4,5.245,KN207-1,53,K24,K,149,0,4.36165,0.01024,,65,
2012-04-29 19:42:52 UTC-4,5.245,KN207-1,53,K24,K,149,0,4.36165,0.01024,,65,
